15697384,C_PROCESO_15-12-4086257_263272711_15697384.pdf,ORIGINAL FIRMADO,.pdf,181543,ORIGINAL FIRMADO,1,2015-07-30,2015-07-30,263272711,15-12-4086257,3796402,-1,13,cloud/cloud2/2015/C/263272711/15-12-4086257/C_PROCESO_15-12-4086257_263272711_15697384.pdf
11207872,C_PROCESO_14-12-2797719_266001447_11207872.pdf,,.pdf,3040758,,1,2014-07-29,2014-07-29,266001447,14-12-2797719,2618949,-1,13,cloud/cloud2/2014/C/266001447/14-12-2797719/C_PROCESO_14-12-2797719_266001447_11207872.pdf
6894729,C_PROCESO_13-12-1590068_268167014_6894729.pdf,CONTRATO,.pdf,206749,CONTRATO,1,2013-04-10,2013-04-10,268167014,13-12-1590068,1491123,-1,13,historico/I/2013/C/268167014/13-12-1590068/C_PROCESO_13-12-1590068_268167014_6894729.pdf
4141775,C_PROCESO_12-12-817955_113001004_4141775.pdf,CONTRATO,.pdf,3248128,CONTRATO,1,2012-02-29,2012-02-29,113001004,12-12-817955,790040,-1,13,historico/E/product/10.1.2/OracleAS_1/infra/Apache/Apache/htdocs/archivospuc1/2012/C/113001004/12-12-817955/C_PROCESO_12-12-817955_113001004_4141775.pdf
5735281,C_PROCESO_12-12-1267476_122043000_5735281.pdf,CONTRATO 019-2012,.pdf,167937,CONTRATO 019-2012,1,2012-11-16,2012-11-16,122043000,12-12-1267476,1185521,-1,13,historico/G/2012/C/122043000/12-12-1267476/C_PROCESO_12-12-1267476_122043000_5735281.pdf
28217778,C_PROCESO_17-12-6520539_28857813_28217778.pdf,,.pdf,1184439,,1,2017-04-26,2017-04-26,28857813,17-12-6520539,5929356,-1,13,2017/2017Q2/2017/C/28857813/17-12-6520539/C_PROCESO_17-12-6520539_28857813_28217778.pdf
27446357,C_PROCESO_17-12-6432084_28839970_27446357.pdf,CONTRATO,.pdf,1723177,CONTRATO,1,2017-03-30,2017-03-30,28839970,17-12-6432084,5848323,-1,13,2017/2017Q1/2017/C/28839970/17-12-6432084/C_PROCESO_17-12-6432084_28839970_27446357.pdf
26810843,C_PROCESO_17-12-6331890_28834213_26810843.pdf,CONTRATO,.pdf,204055,CONTRATO,1,2017-03-13,2017-03-13,28834213,17-12-6331890,5780771,-1,13,2017/2017Q1/2017/C/28834213/17-12-6331890/C_PROCESO_17-12-6331890_28834213_26810843.pdf
26436062,C_PROCESO_17-12-6302244_225178011_26436062.pdf,CONTRATO,.pdf,287936,CONTRATO,1,2017-03-02,2017-03-02,225178011,17-12-6302244,5732107,-1,13,2017/2017Q1/2017/C/225178011/17-12-6302244/C_PROCESO_17-12-6302244_225178011_26436062.pdf
26194679,C_PROCESO_17-12-6266253_28862570_26194679.pdf,MINUTA CONTRATO,.pdf,709308,MINUTA CONTRATO,1,2017-02-24,2017-02-24,28862570,17-12-6266253,5699913,-1,13,2017/2017Q1/2017/C/28862570/17-12-6266253/C_PROCESO_17-12-6266253_28862570_26194679.pdf
25390489,C_PROCESO_17-12-6143730_01002012_25390489.PDF,CTO-042-2017,.PDF,109890,CTO-042-2017,1,2017-02-03,2017-02-03,1002012,17-12-6143730,5590139,-1,13,2017/2017Q1/2017/C/01002012/17-12-6143730/C_PROCESO_17-12-6143730_01002012_25390489.PDF
25344465,C_PROCESO_17-12-6133971_285315011_25344465.pdf,,.pdf,251513,,1,2017-02-03,2017-02-03,285315011,17-12-6133971,5583315,-1,13,2017/2017Q1/2017/C/285315011/17-12-6133971/C_PROCESO_17-12-6133971_285315011_25344465.pdf
25263603,C_PROCESO_17-12-6121809_225535011_25263603.pdf,,.pdf,312658,,1,2017-02-01,2017-02-01,225535011,17-12-6121809,5571460,-1,13,2017/2017Q1/2017/C/225535011/17-12-6121809/C_PROCESO_17-12-6121809_225535011_25263603.pdf
25257904,C_PROCESO_17-12-6120757_227077012_25257904.pdf,,.pdf,1944499,,1,2017-02-01,2017-02-01,227077012,17-12-6120757,5570502,-1,13,2017/2017Q1/2017/C/227077012/17-12-6120757/C_PROCESO_17-12-6120757_227077012_25257904.pdf
25119998,C_PROCESO_17-12-6100439_24188513_25119998.pdf,,.pdf,2898313,,1,2017-01-27,2017-01-27,24188513,17-12-6100439,5553070,-1,13,2017/2017Q1/2017/C/24188513/17-12-6100439/C_PROCESO_17-12-6100439_24188513_25119998.pdf
